timestamp,request_id,endpoint,status_code,latency_ms,phase,ground_truth_drift,drift_evaluated,warning_alert,critical_alert,adaptive_alert,fixed_alert,score,threshold,error
1772863373.498049,16293b0133e2a3514c55f244,/predict,200,7.6157,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.498699,fed0b0489f152279ebc0d9bb,/score,200,6.2381,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.499818,0736fab13afc277602a66b22,/score,200,2.4380,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.505060,a901d96aed8ed39e3a71cac6,/score,200,6.9992,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.505264,9bb5fb59e233cac553c6a6c8,/score,200,7.7177,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.505474,1817dce98413bdae53439b35,/detect_drift,200,7.7447,sudden_drift,1,0,0,0,0,0,0.994350,0.880000,
1772863373.505708,c5eed01ad41c36fd8c54bc78,/score,200,6.9981,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.506432,d130828f72fbad2ea8bc12d0,/score,200,6.6012,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.507568,86759ffe32d10e97c255dd9c,/detect_drift,200,2.4912,sudden_drift,1,0,0,0,0,0,0.992146,0.880000,
1772863373.512374,29804cdbd4281a3ec9dab537,/score,200,5.9306,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.512549,76f374b2b27ea8c852fc0c6b,/predict,200,7.2726,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.512942,9428e0042b26f13a17d593cb,/score,200,7.4558,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.513172,66be7853812547a21b782a1f,/predict,200,7.4509,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.513782,14271a9c006e6a5c87829bf9,/score,200,6.2012,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.514951,52158278869c1e9fed1e8770,/predict,200,2.5649,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.519903,076351e853245d6dd338f5bd,/score,200,6.1087,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.520058,c67b1bdee94ca943f9d5efd5,/score,200,7.4975,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.520462,657cbc9bede67d6ee52170ac,/predict,200,7.5082,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.520711,c48ad8289d2919903cdedea2,/predict,200,7.5280,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.521403,eaec7f2979332f2911b24b0c,/score,200,6.4402,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.522487,17bd810e7e3d450a9e308307,/predict,200,2.5714,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.527605,a1fcb6c8cb09f38895fbb75b,/score,200,6.1903,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.527795,0c4ce7b3ef1f9042eec834e3,/predict,200,7.7251,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.527999,9633e3054ff7544146f83db4,/predict,200,7.5218,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.528647,fe40c4844d1f53e536606cd9,/predict,200,7.9240,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.529177,beb7af175f9cba2104bdcdf7,/score,200,6.6778,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.530711,f74c1cbfe0bf6044f3660902,/predict,200,3.0934,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.535799,ba9fecf79fad5c0f83f27ec4,/score,200,7.1392,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.535986,877e6fb65ecf6e9b3059bb48,/score,200,8.1774,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.536197,cbca8db73c123c3c4562e4f9,/score,200,8.1866,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.536425,4a24feb31eda25f72c08b71d,/predict,200,7.2353,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.536956,597d94d34e3747a4d268a92d,/predict,200,6.2317,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.538572,b72d9dc223ffba3a3b9169bb,/predict,200,2.7605,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.543511,91bf231caaa529cc911f9774,/predict,200,6.5433,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.543711,279a7825743a71e9595fb29b,/predict,200,7.7123,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.544107,a8328370269e99261e79a6a5,/predict,200,7.8982,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.544361,946a874d6bfec900b4acdeeb,/score,200,7.9249,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.545022,68ec3aa06b5fc5f41f1feba1,/detect_drift,200,6.4380,sudden_drift,1,0,0,0,0,0,0.996433,0.880000,
1772863373.546502,0b26d411ca5036393d01d11b,/predict,200,2.9737,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.551531,c8da8239e5c126746163c570,/predict,200,6.4962,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.551718,27910af1602137d653a16197,/score,200,7.9936,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.551930,bcc866364bb04478f6405766,/score,200,7.8097,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.552163,7cb392f6549893e1a32fc96e,/predict,200,7.7902,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.552729,9758ef3a53b54aa6f5727245,/predict,200,6.2119,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.554589,708e50562679b4193fd35475,/score,200,3.0448,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.559626,0e77e0c14c748e7b026d743a,/score,200,6.8837,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.559796,e0ddafb2202a45157ebb8845,/score,200,8.0652,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.559998,70bb5fcd6c523cf953dbdb92,/predict,200,8.0556,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.560219,8d0cf1396de4b5ba30bf61ac,/predict,200,8.0438,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.560781,22e10fc8b33a7750cfe2f53c,/predict,200,6.1784,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.562458,c0b5797349a03a0376924b5f,/predict,200,2.8186,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.567385,8621eeba3598c10575decce9,/score,200,7.1547,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.567562,4c9444a97254d41c1ee0e734,/detect_drift,200,7.7547,sudden_drift,1,0,0,0,0,0,0.995934,0.880000,
1772863373.567971,bd6b56ea5e2129290b5e3188,/detect_drift,200,7.9607,sudden_drift,1,0,0,0,0,0,0.982082,0.880000,
1772863373.568182,2de9e787828b7a8965c2fb8c,/score,200,7.3880,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.568846,b1c727248b329a8aff1d37a0,/predict,200,6.3755,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.570085,1f2cfb236383310fb0579e96,/score,200,2.6872,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
