timestamp,request_id,endpoint,status_code,latency_ms,phase,ground_truth_drift,drift_evaluated,warning_alert,critical_alert,adaptive_alert,fixed_alert,vote_ratio,psi_component,ks_component,prediction_component,score,threshold,error
1772864714.393663,dd36eae0dc6f3d1bf89ba7a2,/score,200,7.6023,sudden_drift,1,0,0,0,0,0,0.875000,3.427424,1.932591,2.161654,7.521669,1.000000,
1772864714.393861,93ce7c36d3cfae4a017c4507,/score,200,7.3942,sudden_drift,1,0,0,0,0,0,0.875000,3.427424,1.932591,2.161654,7.521669,1.000000,
1772864714.394092,a6b505a56a3cce90239bd66e,/score,200,7.8355,sudden_drift,1,0,0,0,0,0,0.875000,3.427424,1.932591,2.161654,7.521669,1.000000,
1772864714.394824,51bed1257dbaec8e739fe816,/detect_drift,200,6.4450,sudden_drift,1,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.994768,0.880000,
1772864714.395975,bba2b5ad5041207c4d08745a,/score,200,2.4588,sudden_drift,1,0,0,0,0,0,0.875000,3.427424,1.932591,2.161654,7.521669,1.000000,
1772864714.401119,67d8c5b176c12f4b6f9e7134,/score,200,6.2831,sudden_drift,1,0,0,0,0,0,0.875000,3.427424,1.932591,2.161654,7.521669,1.000000,
1772864714.401321,9f35ec90625cafc0e687f1ab,/predict,200,7.6463,sudden_drift,1,0,0,0,0,0,0.875000,3.427424,1.932591,2.161654,7.521669,1.000000,
1772864714.401737,89a99df19d7aa355d0933e15,/score,200,7.6336,sudden_drift,1,0,0,0,0,0,0.875000,3.427424,1.932591,2.161654,7.521669,1.000000,
1772864714.401977,5bf5720c1d8b2fbd65b17921,/predict,200,8.1040,sudden_drift,1,0,0,0,0,0,0.875000,3.427424,1.932591,2.161654,7.521669,1.000000,
1772864714.402654,dfe7d6ffbfa5f0372edc613c,/score,200,6.6665,sudden_drift,1,0,0,0,0,0,0.875000,3.427424,1.932591,2.161654,7.521669,1.000000,
1772864714.404358,5b079c6caf0a143b7dd73321,/predict,200,3.2211,sudden_drift,1,0,0,0,0,0,0.875000,3.427424,1.932591,2.161654,7.521669,1.000000,
1772864714.409428,91c137d49aac5aa386edf42f,/score,200,6.7596,sudden_drift,1,0,0,0,0,0,0.875000,3.427424,1.932591,2.161654,7.521669,1.000000,
1772864714.410093,18a4611ffd58f9b2f2d64c02,/score,200,8.7587,sudden_drift,1,0,0,0,0,0,0.875000,3.427424,1.932591,2.161654,7.521669,1.000000,
1772864714.410297,50503d1410f1fee111d47eae,/predict,200,8.5463,sudden_drift,1,0,0,0,0,0,0.875000,3.427424,1.932591,2.161654,7.521669,1.000000,
1772864714.410555,e1aa543f728d1937e992cad6,/detect_drift,200,8.5664,sudden_drift,1,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.993704,0.880000,
1772864714.411208,17fdec87055734238280454d,/predict,200,6.8297,sudden_drift,1,0,0,0,0,0,0.875000,3.427424,1.932591,2.161654,7.521669,1.000000,
1772864714.412407,1d24a4ee615274c0fc1fbdcf,/score,200,2.9637,sudden_drift,1,0,0,0,0,0,0.875000,3.427424,1.932591,2.161654,7.521669,1.000000,
1772864714.417640,56eebee15a1b24d221cfd944,/detect_drift,200,6.4191,sudden_drift,1,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.996326,0.880000,
1772864714.417817,28e7a8da2845d1619bc9d1d6,/score,200,7.7113,sudden_drift,1,0,0,0,0,0,0.875000,3.427424,1.932591,2.161654,7.521669,1.000000,
1772864714.418027,8d70410573a0ce7a9378ebf7,/score,200,7.7177,sudden_drift,1,0,0,0,0,0,0.875000,3.427424,1.932591,2.161654,7.521669,1.000000,
1772864714.418261,0e7061643291ad3a21460c11,/detect_drift,200,7.6913,sudden_drift,1,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.990944,0.880000,
1772864714.418877,385e4c5bdd58d820a16a9135,/predict,200,6.4563,sudden_drift,1,0,0,0,0,0,0.875000,3.427424,1.932591,2.161654,7.521669,1.000000,
1772864714.421084,5daddb9f831c452471a95a33,/score,200,3.4302,sudden_drift,1,1,1,1,1,1,0.875000,3.607594,1.974836,2.245403,7.827833,1.000000,
1772864714.426117,5f690feed6d2de06f06a6fd2,/score,200,7.2285,sudden_drift,1,0,0,0,0,0,0.875000,3.607594,1.974836,2.245403,7.827833,1.000000,
1772864714.426302,54ff714b283890d0bb9e7737,/score,200,8.4737,sudden_drift,1,0,0,0,0,0,0.875000,3.607594,1.974836,2.245403,7.827833,1.000000,
1772864714.426501,44a29d7a08b4e635a7dd1bde,/predict,200,8.4621,sudden_drift,1,0,0,0,0,0,0.875000,3.607594,1.974836,2.245403,7.827833,1.000000,
1772864714.426875,a6ba6c3271a2c6d034a17a0b,/score,200,8.5997,sudden_drift,1,0,0,0,0,0,0.875000,3.607594,1.974836,2.245403,7.827833,1.000000,
1772864714.427560,e043744f313dba878bbd329e,/score,200,6.4623,sudden_drift,1,0,0,0,0,0,0.875000,3.607594,1.974836,2.245403,7.827833,1.000000,
1772864714.428935,ddfb8cdf863a1313f4bcbb41,/score,200,2.8052,sudden_drift,1,0,0,0,0,0,0.875000,3.607594,1.974836,2.245403,7.827833,1.000000,
1772864714.433715,f3ab953c6dcadfc4e59453cc,/score,200,6.1407,sudden_drift,1,0,0,0,0,0,0.875000,3.607594,1.974836,2.245403,7.827833,1.000000,
1772864714.433879,ceededebc0d5d61c8f9530b7,/score,200,7.5638,sudden_drift,1,0,0,0,0,0,0.875000,3.607594,1.974836,2.245403,7.827833,1.000000,
1772864714.434329,05bbc5b2c172917f8416292a,/detect_drift,200,7.8165,sudden_drift,1,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.939445,0.880000,
1772864714.434567,10fb1de48fa32519d6d18c46,/score,200,7.6767,sudden_drift,1,0,0,0,0,0,0.875000,3.607594,1.974836,2.245403,7.827833,1.000000,
1772864714.435202,f79c69e1ff3272003036d657,/score,200,6.2529,sudden_drift,1,0,0,0,0,0,0.875000,3.607594,1.974836,2.245403,7.827833,1.000000,
1772864714.436473,51a2fb0042da8c63c22d5159,/predict,200,2.7447,sudden_drift,1,0,0,0,0,0,0.875000,3.607594,1.974836,2.245403,7.827833,1.000000,
